"respondent_id","country_code_alpha2","female","age","residence","satisfaction_democracy_country","satisfaction_democracy_eu","voted_ep","ideology","eu_membership_opinion","unemployed","social_class","living_standard","education"
560556,"BE",1,70,"rural",3,3,1,7,1,0,3,5,NA
560441,"BE",1,61,"city",2,2,0,7,3,0,3,4,NA
560543,"BE",0,69,"rural",2,2,1,5,1,0,3,3,NA
560161,"BE",0,61,"city",3,2,1,4,1,0,3,4,NA
560871,"BE",1,42,"city",NA,NA,1,5,NA,0,3,NA,NA
560825,"BE",1,44,"rural",3,3,1,8,3,0,3,6,NA
560301,"BE",0,61,"city",2,1,1,5,1,0,3,4,NA
560087,"BE",1,56,"town",3,3,1,0,1,0,3,3,NA
560844,"BE",1,51,"rural",2,2,0,NA,3,0,1,3,NA
560748,"BE",1,54,"city",2,2,1,10,3,0,1,4,NA
560281,"BE",1,65,"town",3,3,1,5,3,0,3,4,NA
560484,"BE",0,71,"town",2,2,1,NA,NA,0,1,3,NA
560516,"BE",1,64,"town",1,1,1,NA,3,0,3,4,NA
560041,"BE",1,52,"city",2,2,1,5,NA,0,1,4,NA
560464,"BE",1,57,"town",NA,NA,1,NA,NA,0,1,2,NA
560386,"BE",1,68,"town",2,2,1,2,1,0,3,4,NA
560324,"BE",1,72,"city",3,2,1,3,1,0,3,4,NA
560274,"BE",1,67,"town",1,1,1,NA,2,0,2,3,NA
560728,"BE",0,55,"rural",2,1,1,7,3,0,3,5,NA
560465,"BE",1,67,"rural",2,2,1,0,3,0,1,4,NA
560870,"BE",0,43,"rural",3,3,1,4,1,0,3,5,NA
560028,"BE",1,44,"city",NA,2,1,0,2,0,2,3,NA
560418,"BE",0,62,"town",4,4,1,NA,1,0,3,6,NA
560168,"BE",1,22,"town",3,3,1,NA,1,0,2,4,NA
560894,"BE",1,28,"city",3,2,1,0,1,0,4,5,NA
560961,"BE",0,27,"city",2,1,1,6,3,0,1,3,NA
560118,"BE",0,77,"rural",3,3,1,8,1,0,3,5,NA
560892,"BE",1,38,"town",2,2,1,7,NA,0,3,4,NA
560623,"BE",0,36,"town",2,3,1,6,1,0,3,4,NA
560171,"BE",0,24,"city",3,3,1,10,1,0,3,5,NA
560467,"BE",0,64,"town",3,3,1,2,1,0,2,3,NA
560925,"BE",0,42,"rural",3,2,1,7,1,0,3,5,NA
560683,"BE",1,26,"town",2,2,1,3,1,0,1,4,NA
560988,"BE",1,25,"city",4,4,1,9,1,0,4,4,NA
